stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,municipality_id,stop_desc,stop_timezone,wheelchair_boarding,platform_code,vehicle_type
205257,,Kuusimäenkatu 18 keskustasta,61.05369530000001,28.151749600000002,1,http://405,0,,405,,,0,,
205258,,Kärrinkatu keskustaan,61.04754930000001,28.205427000000004,1,http://405,0,,405,,,0,,
205259,,Kärrinkatu keskustasta,61.04769400000001,28.204630400000003,1,http://405,0,,405,,,0,,
205260,,Lappeenkatu E,61.058835900000005,28.195558400000003,1,http://405,0,,405,,,0,,
205261,,Lappeenkatu P,61.058708700000004,28.1960103,1,http://405,0,,405,,,0,,
205262,,Lauritsalantie-Kaukas keskustaan,61.06047360000001,28.243631000000004,1,http://405,0,,405,,,0,,
205263,,Lauritsalantie-Kaukas keskustasta,61.060429400000004,28.2408758,1,http://405,0,,405,,,0,,
205264,,Lauritsalantie I,61.0619682,28.235091300000004,1,http://405,0,,405,,,0,,
205265,,Lavolankatu 1 keskustaan,61.054065200000004,28.173045000000002,1,http://405,0,,405,,,0,,
205266,,Kesämäki I,61.0460216,28.177063900000004,1,http://405,0,,405,,,0,,
205267,,Lavolankatu-Leirikatu keskustasta,61.053986900000005,28.173415000000002,1,http://405,0,,405,,,0,,
205268,,Kesämäki P,61.047632500000006,28.1750107,1,http://405,0,,405,,,0,,
205270,,Lavolantie 14 P,61.044155200000006,28.105373500000002,1,http://405,0,,405,,,0,,
205272,,Lavolantie 30 P,61.039512,28.100164600000003,1,http://405,0,,405,,,0,,
205273,,Lavolantie 40 P,61.037797600000005,28.0983115,1,http://405,0,,405,,,0,,
205274,,Lentokentäntie 3 keskustaan,61.047886600000005,28.1737715,1,http://405,0,,405,,,0,,
205275,,Lentokentäntie 3 keskustasta,61.047655500000005,28.173418,1,http://405,0,,405,,,0,,
205276,,Lentokentäntie 7 keskustaan,61.0469597,28.1698942,1,http://405,0,,405,,,0,,
205277,,Lentokentäntie 7 keskustasta,61.046956300000005,28.169286300000003,1,http://405,0,,405,,,0,,
205279,,Lentokentäntie keskustasta,61.043911800000004,28.158391200000004,1,http://405,0,,405,,,0,,
205280,,Lentokentäntie-Kesämäenkatu keskustaan,61.045827900000006,28.164546400000003,1,http://405,0,,405,,,0,,
205281,,Lentokentäntie-Kesämäenkatu keskustasta,61.045908100000005,28.164424300000004,1,http://405,0,,405,,,0,,
205282,,Lepolankatu 10 keskustasta,61.05545790000001,28.208569500000003,1,http://405,0,,405,,,0,,
205283,,Lepolankatu 1a keskustaan,61.053952300000006,28.206832900000002,1,http://405,0,,405,,,0,,
205284,,Lepolankatu 34 keskustasta,61.059319,28.2137567,1,http://405,0,,405,,,0,,
205285,,Lepolankatu keskustaan,61.059315600000005,28.214032700000004,1,http://405,0,,405,,,0,,
205286,,Luukkaankatu 34 keskustaan,61.0758208,28.2647815,1,http://405,0,,405,,,0,,
205287,,Luukkaankatu 51 keskustasta,61.0757619,28.266065200000003,1,http://405,0,,405,,,0,,
